gha_fingerprint,workflow_blob_url,source_git_repo,package_namespace,package_name,workflow_path,workflow_name,primary_language,stars_count,popularity_bucket,license,is_fork,num_jobs,total_steps,has_matrix_strategy,has_job_dependencies,uses_reusable_workflows,trigger_diversity_count,trigger_risk_level,has_workflow_dispatch_inputs,num_third_party_action_refs,num_uses_steps,num_run_steps,has_permissions_block,permission_scope,secrets_usage_count,has_conditional_expressions,workflow_purpose,has_self_hosted_runner,uses_container,structural_complexity_bucket,sha_pinning_ratio,uses_unverified_actions,expressions_in_run_blocks,taint_source_count,env_vars_with_expressions,security_surface_bucket,action_dependency_bucket
88992feb0df4cbdc3fdaaa0d7e722950de42c5c4b5787bd92ae45a4e2ad46ea6,https://github.com/MicrosoftDocs/OfficeDocs-Enterprise/blob/9e98328b5fd2dab3ce2c0c22bfe16bcee787e6ab/.github/workflows/AutoLabelMsftContributor.yml,MicrosoftDocs/OfficeDocs-Enterprise,microsoftdocs,officedocs-enterprise,.github/workflows/AutoLabelMsftContributor.yml,Auto label Microsoft contributors,PowerShell,18,q2_medium,Creative Commons Attribution 4.0 International,False,2,0,False,True,True,1,high,False,0,0,0,True,write_all,3,True,other,False,True,medium,,False,False,0,False,no_expressions,no_third_party
85a4aa7f4ac8308b00358a86c4a8bbc71ad183e73237200d06e59e4139b44706,https://github.com/cloudposse-terraform-components/aws-dns-primary/blob/2fc1f4552c198dfa7e0a40cd9f6e0606f368fced/.github/workflows/release.yml,cloudposse-terraform-components/aws-dns-primary,cloudposse-terraform-components,aws-dns-primary,.github/workflows/release.yml,release,HCL,0,q1_low,,False,1,0,False,False,True,1,low,False,0,0,0,True,write_all,0,False,deploy_release,False,True,simple,,False,False,0,False,no_expressions,no_third_party
e6289bc34caf7c451fb90237654ac67e61bd7e9294554a82720fe5199f1161ef,https://github.com/Tencent/TencentKona-21/blob/2ea772e625566036ae465a1cff18679c530b723f/.github/workflows/build-cross-compile.yml,Tencent/TencentKona-21,tencent,tencentkona-21,.github/workflows/build-cross-compile.yml,Build (cross-compile),Java,17,q2_medium,GNU General Public License v2.0,False,1,11,True,False,False,1,low,False,2,5,6,False,not_set,0,True,build,False,True,complex,,False,False,0,False,no_expressions,unpinned_third_party
abdaa74289a33759874809a3c30ae9a1fd948d6821845fdb38a4a74b86913d2c,https://github.com/adafruit/Adafruit_CircuitPython_SCD30/blob/4f248d65784ee333a6797b92b62b86800f92c6e0/.github/workflows/failure-help-text.yml,adafruit/Adafruit_CircuitPython_SCD30,adafruit,adafruit_circuitpython_scd30,.github/workflows/failure-help-text.yml,Failure help text,Python,5,q1_low,MIT License,False,1,1,False,False,False,1,high,False,1,1,0,False,not_set,0,True,other,False,True,simple,,False,False,0,False,no_expressions,unpinned_third_party
b69d6c11753e371724eb4bebab22f183553c2b3fa56ee9b632340553cc22d3a2,https://github.com/ory/summit-platform/blob/02abed8ee3df6f6a5e9e5a4d86143ee9ded92464/.github/workflows/conventional_commits.yml,ory/summit-platform,ory,summit-platform,.github/workflows/conventional_commits.yml,Conventional commits,PHP,7,q1_low,Apache License 2.0,False,1,3,False,False,False,1,high,False,3,3,0,False,not_set,1,False,other,False,True,simple,,False,False,0,False,no_expressions,unpinned_third_party
1af6c897a9e0c18334c76a4721bbd78bc1b14abd50751e67d72d1c8c3163c0fd,https://github.com/ory/oathkeeper-client-ruby/blob/dde98d893ca2e76aa11543666c4fbbcf7b84c378/.github/workflows/licenses.yml,ory/oathkeeper-client-ruby,ory,oathkeeper-client-ruby,.github/workflows/licenses.yml,Licenses,Shell,1,q1_low,Apache License 2.0,False,1,3,False,False,False,2,medium,False,3,3,0,False,not_set,0,True,other,False,True,simple,,False,False,0,False,no_expressions,unpinned_third_party
5ca6b5b0155094de9fa77dd6e4118e8400c7b58da49e89189d9764c1b6cb0066,https://github.com/hashicorp/terraform-provider-awscc/blob/ff6c6378a1266903ec9dd28c46862060711e8470/.github/workflows/labelers.yml,hashicorp/terraform-provider-awscc,hashicorp,terraform-provider-awscc,.github/workflows/labelers.yml,Label Automations,HCL,288,q3_high,Mozilla Public License 2.0,False,1,13,False,False,False,3,high,False,1,5,8,True,write_all,6,True,other,False,True,complex,,False,False,0,False,no_expressions,unpinned_third_party
4b1276f8585fc7a34435b8f076d89867e71b0532d667d364b02c9ea3c508c0e9,https://github.com/aziontech/lib/blob/46d9732d8686dc77bb2163fd8c0bca360f12026c/.github/workflows/code-review.yml,aziontech/lib,aziontech,lib,.github/workflows/code-review.yml,Azion AI Code Review,TypeScript,8,q1_low,MIT License,False,1,8,False,False,False,1,medium,False,3,3,5,True,write_all,4,True,other,False,True,medium,,False,False,0,False,no_expressions,unpinned_third_party
01deecc78ece9eb95e772b0fff1b794dd4db5ea045c568d3971dcdb17c216241,https://github.com/RegioneER/parer-dpi/blob/9727dc18a7b248af651947021e4514831e98d13c/.github/workflows/compile.yml,RegioneER/parer-dpi,regioneer,parer-dpi,.github/workflows/compile.yml,Maven Compile,Java,0,q1_low,GNU Affero General Public License v3.0,False,1,0,False,False,True,1,low,False,0,0,0,False,not_set,0,False,build,False,True,simple,,False,False,0,False,no_expressions,no_third_party
1af6c897a9e0c18334c76a4721bbd78bc1b14abd50751e67d72d1c8c3163c0fd,https://github.com/ory/client-ruby/blob/261684c5589f37f79dae30a6b70b64ba8f001751/.github/workflows/licenses.yml,ory/client-ruby,ory,client-ruby,.github/workflows/licenses.yml,Licenses,Shell,41,q2_medium,Apache License 2.0,False,1,3,False,False,False,2,medium,False,3,3,0,False,not_set,0,True,other,False,True,simple,,False,False,0,False,no_expressions,unpinned_third_party
